the_geom,OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
POINT (-122.454459214733 37.72333093758),25226,Ocean Ave&Lee St SW-NS,OCENLEE0,OCENLEE,5795,37.723326,-122.45444599999999,0,BRIGHTON AVE,OCEAN AVE,NS,SW,,0,10/29/2017 05:39:39 PM +0000,655839,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.4070732147 37.789493946326),24699,Stockton St&Sutter St NW-NS/BB,STOKSUT1,STOKSUTT,6524,37.789488999999996,-122.40706,0,BUSH ST,STOCKTON TUNL,NS,NW,BB,1,10/29/2017 05:39:39 PM +0000,655206,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.451113213458 37.720634937287),24072,Howth St&Niagra Ave W-FS,HOWTNIA0,HOWTNIAG,5040,37.72063,-122.45110000000001,0,NIAGRA AVE,HOWTH ST,FS,W,FL,0,10/29/2017 05:39:39 PM +0000,653563,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.436693213327 37.738674940385),23324,Diamond Heights Blvd&Berkeley Way SE-NS,DHTSBKL1,DHTSBKLY,4361,37.738669999999999,-122.43668,0,BERKELEY WAY,DIAMOND HEIGHTS BLVD,NS,SE,FL,0,10/29/2017 05:39:39 PM +0000,652743,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.444091216961 37.761331940866),23450,Corbett Ave&Danvers St W-FS/SB,CRBTDAN0,CRBTDANV,4175,37.761327000000001,-122.44407799999999,0,DANVERS ST,CORBETT AVE,FS,W,,0,10/29/2017 05:39:39 PM +0000,652554,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.46683822392 37.784634941939),23094,California St&8TH Ave SW-NS/BZ,CALI 8A1,CALI 8AV,3827,37.78463,-122.466825,0,08TH AVE,CALIFORNIA ST,NS,SW,BZ,0,10/29/2017 05:39:39 PM +0000,652363,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.468976223588 37.784555941087),23095,California St&10TH Ave SW-NS/BZ,CALI10A1,CALI10AV,3830,37.784551,-122.468963,0,10TH AVE,CALIFORNIA ST,NS,SW,BZ,0,10/29/2017 05:39:39 PM +0000,652365,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.410323216393 37.800281946799),25748,Union St&Columbus Ave S-MB/BZ,UNINCOL1,UNINCOLM,6751,37.800277000000001,-122.41031,0,COLUMBUS AVE,UNION ST,NS,SW,BZ,0,10/29/2017 05:39:39 PM +0000,657053,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.408923210935 37.749694942529),23415,Bryant St&26TH St NW-NS/BZ,BRYT26S0,BRYT26ST,3750,37.749690000000001,-122.40890999999999,0,26TH ST,BRYANT ST,NS,NW,BZ,0,10/29/2017 05:39:39 PM +0000,652505,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.399893206613 37.730194941623),25713,Phelps St&Williams Ave S-NS,PHLPWLM1,PHLPWLMS,5940,37.73019,-122.39988,0,WILLIAMS AVE,PHELPS ST,NS,S,FL,1,10/29/2017 05:39:39 PM +0000,656985,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.483081221304 37.742784936678),24649,Taraval St&26th Ave NE-NS/PS,TARA26A0,TARA26AV,6622,37.742779999999996,-122.483068,0,26TH AVE,TARAVAL ST,NS,NE,,0,10/29/2017 05:39:39 PM +0000,655134,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.409503211968 37.755724943787),23231,Bryant St&22ND St SW-FS/BZ,BRYT22S0,BRYT22ST,3743,37.755719999999997,-122.40949000000001,0,22ND ST,BRYANT ST,FS,SW,BZ,0,10/29/2017 05:39:39 PM +0000,652190,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.428473209865 37.721554939401),25178,Athens St&Brazil Ave S-NS,ATHNBRZ1,ATHNBRZL,3668,37.721550000000001,-122.42846,0,BRAZIL AVE,ATHENS ST,NS,S,FL,0,10/29/2017 05:39:39 PM +0000,655761,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.49492822334 37.747582936892),25128,Sunset Blvd&Quintara St SW-FS/SB,SUNSQUI0,SUNSQUIN,6548,37.747577999999997,-122.49491499999999,0,QUINTARA ST,SUNSET BLVD,FS,SW,,1,10/29/2017 05:39:39 PM +0000,655951,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.405528212424 37.765865944321),26098,16th St&San Bruno Ave SE-FS/BZ,16STSBR0,16STSBRO,3297,37.765861000000001,-122.40551499999999,0,SAN BRUNO AVE,16TH ST,FS,SE,BZ,0,10/29/2017 05:39:39 PM +0000,657475,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.397582210675 37.762618944649),23433,Connecticut St&18TH St NW-NS/PS,CONN18S0,CONN18ST,4125,37.762613999999999,-122.397569,0,18TH ST,CONNECTICUT ST,NS,NW,,0,10/29/2017 05:39:39 PM +0000,652536,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.418943210755 37.732624940539),25875,989 Ellsworth St S-MB/SB,EWTHH981,EWTHH989,4567,37.732619999999997,-122.41893,0,ALEMANY BLVD,ELLSWORTH ST,MB,S,,0,10/29/2017 05:39:39 PM +0000,656908,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.435723216837 37.768954942357),23802,Castro St&Duboce Ave SE-NS/BZ,CTRODUB1,CTRODUBO,4331,37.768949999999997,-122.43571,0,DUBOCE AVE,CASTRO ST,NS,SE,BZ,1,10/29/2017 05:39:39 PM +0000,653120,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.393316213219 37.790549947016),26131,Main St & Howard St S-NS/SI,MAINHWRD,,7620,37.790545000000002,-122.393303,0,FOLSOM ST,MAIN ST,,,,0,10/29/2017 05:39:39 PM +0000,657540,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.47615322021 37.748304937802),22847,19th Ave&Quintara St SW-FS/BZ,19AVQUI2,19AVQUIN,3384,37.7483,-122.47614,0,QUINTARA ST,19TH AVE,FS,SW,BZ,1,10/29/2017 05:39:39 PM +0000,651562,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
POINT (-122.4250952169 37.785438944691),23253,Geary Blvd&Gough St NW-FS/BZ,GEARGOU0,GEARGOUG,4298,37.785433999999995,-122.425082,0,GOUGH ST,GEARY BLVD,FS,NW,BZ,1,10/29/2017 05:39:39 PM +0000,652614,109,,LBIENENFELD,10/30/2017 05:42:13 PM +0000,LBIENENFELD,10/30/2017 05:42:13 PM +0000
